OutcomeCategory,Business Outcome,IT Outcome,Key Performance Indicator(s),Domain,Capability,Use Case,Use Case Description,Products,Originator,Country,Customer,Delivered?,Outcome Category,Sector,Item Type,Path
"Reduce Cost, Improve Quality, Reduce Risk","Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.","Reduce IT Cost, TCO while data sets are secured from breach",Risk Reduction,Continuous Compliance,Data Protection,Automate file content encryption/redaction for FOIA requests,"As the CISO, 

I want the data that is provided to a citizen - as a respond to a Freedom Of Information Act request  - to be the same file in the same format as it was stored in the government archives, but with sensitive data encrypted, 

so that I can be compliant with security and privacy regulations when I provide that information to the citizen",Voltage,Ashley Bill,NSE,Large European Government,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Improve Quality","Higher availability of business services which leads to better service quality, better customer experience and higher profits",Optimize IT operations cost and effectiveness,"- MTBSI,
- MTTR",Continuous Operations,Event Management,Correlate Symptom-Event to detect Root-Case-Events,"As the Customer Relations Agent, 

I want Event Correlation (preferably automated and with AI/ML injected) to reduce the noise of event symptoms from multiple monitoring tools,  

so that I can detect the important root cause events, prioritize them by service impact and correct vulnerabilities and risks that I need to focus on in seconds",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Improve Quality","Higher availability of business services which leads to better service quality, better customer experience and higher profits",Improve efficiency in restoring the business services trough proper incident management,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Incident Management,Automated Event - Incident Integration and recovery,"As the Customer Relations Agent 

 want to automate event enrichment and handling as well as incident creation, utilize bi-directional event to incident integration, automate tasks for diagnosis and remediation using run-books 

so that I can optimize the resolution time of current events / incidents.",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve End User Productivity at lower support,MTTR,Continuous Operations,Service Monitoring,Leverage the Service Model for event correlation and root cause analysis (RCA).,"As a Customer Relations Agent 

I want to understand the authorized Service Model of any (business) service including all related CI's and all past service requests, 

so that I can leverage the topology for event correlation (preferably automated and with AI/ML injected) to execute a Root Cause Analysis faster and better thus to optimize the resolution time of current events / incidents.",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Reduces the occurrence and recurrence of events and incidents,"- MTBSI, 
- MTTR",Continuous Operations,Problem Management,Leverage the Service Model to reduce events and incidents,"As a Problem Manager 

I want to understand the authorized Service Model of any (business) service including all related CI's and all past service requests, 

so that I can leverage the topology to identify the root cause of a problem and reduce the occurrence and recurrence of events and incidents.",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Optimize IT operations cost and effectiveness,MTTR,Continuous Operations,Service Monitoring,Leverage the Service Model to identify possible origin of an alert,"As a Customer Relations Agent 

I want to understand the authorized Service Model of any (business) service including all related CI's and all past service requests, 

so that I can leverage the topology to identify the possible origin of an alert faster and better, thus to optimize the resolution time of current events / incidents.",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Reduce IT operations efforts. Increase efficiency in IT operations,MTTR,Continuous Operations,Service Monitoring,Leverage the Service Model for diagnosis and remediation,"As a Customer Relations Agent 

I want to understand the authorized Service Model of any (business) service including all related CI's and all past service requests, 

so that I can leverage the topology to help me diagnose and remediate events / incidents faster and better thus to optimize the resolution time of current events / incidents.",OPSB,Dominique Marie,GALLIA,SFR,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Risk, Reduce Cost, Improve Quality, Business Alignment",Assuring that the investments done by the business returns the right - prioritized - outcomes and ROI and not wasted on projects / resources that are not required,"Using research, analysis and resource planning to optimise resource deployment on the highest value projects.",Maximise Output per unit of cost.,Continuous Planning,Resource Management,Optimise resource deployed on the highest value projects.,"As a Resource Manager 

I want to balance resource capacity and project demand, manage resource request and staffing needs, track and identify required skills and match the right people to the right projects 

so that I can execute effectively and efficiently plan to optimise resource deployed on the highest value projects.",PPM,Keith Macbeath,UK&I,Government of Ireland,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risk, Reduce Cast","Link investments aligned to key strategic initiatives, programs, projects, resources, and budgets to inform impact of the investments to the intended business outcomes, assuring the investments are not wasted on projects / resources that are not required.",Improve efficiency in Project & Portfolio Management practice through dashboards & reporting,Maximise project success rates,Continuous Planning,Resource Management,End-to-end visibility of program delivery,"As a Head/Director of PMO 

I want to have end-to-end visibility into project lifecycle visibility into resource allocation, compliance targets for time, status reporting, risk mitigation and process 

so that I have the capability to provide executive stakeholders with the project, resource and financial status of the live programs as they require.",PPM,Keith Macbeath,UK&I,Government of Ireland,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Risk, Reduce Cost, Improve Quality, Business Alignment","Link investments aligned to key strategic initiatives, programs, projects, resources, and budgets to inform impact of the investments to the intended business outcomes, assuring the investments are not wasted on projects / resources that are not required.","Deliver comprehensive financial reporting (for management insights), budgeting and forecasting, reporting on CAPEX vs OPEX, portfolio (financial) performance- and full audit trail of transactions by fiscal period.",Manage project cost effectiveness,Continuous Insight,Portfolio Management,Link investments to key strategic initiatives,"As a business stakeholder 

I want to enable strategic portfolio planning, portfolio management, budget optimization and – where needed - execute corrections 

so that I can assure that investments have an impact on the strategic initiatives and intended business outcomes, and are not wasted on programs / resources that are not providing those business outcomes.",PPM,Keith Macbeath,UK&I,Government of Ireland,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Risk, Reduce Cost, Business Alignment",Ensure compliance with regulatory guidelines (national & European),Enabling government departments to govern & control fund management & disbursement to organizations for approved programs as per the regulatory guidelines and that those funds are tracked for the intended outcomes.,Successful compliance events,Continuous Compliance,Governance,Governance for fund management & disbursement,"As a Public Sector employee I must have robust processes and structures to prevent, detect and correct corruption, fraud, double funding and conflicts of interest so that I can ensure the management & disbursement of funds – provided to organizations for approved programs - is done as per the regulatory guidelines and tracked for the intended end-user beneficiary.",PPM,Keith Macbeath,UK&I,Government of Ireland,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Cost, Reduce Risk",Ensure compliance with regulatory guidelines (national & European),"Enabling government departments to comply with the Freedom of Information Act Requests in an efficient and effective manner, reducing cost and compliance risks",MTTF,Consume,Fulfilment,Find information across different databases / data types for FOIA requests,"As a Public Sector employee, 

I must have a robust method to search and find by citizens requested information spread across many different databases and data type while meeting deadlines to provide that information quickly, 

so that I can comply to the Freedom of Information Act or the law of Open Government and provide this requested information on time and in full.",IDOL,Frank de Pater,NSE,Large European Government,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Cost, Reduce Risk",Ensure compliance with regulatory guidelines (national & European),"Enabling government departments to comply with the Freedom of Information Act Requests in an efficient and effective manner, reducing cost and compliance risks, while complying with data privacy laws.","- MTTF, 
- Brand Protection, 
- Risk Reduction,",Consume,Fulfilment,"Respond to FOIA requests, on time, complying with privacy laws","As a Public Sector employee, 

I must have a robust method to find by citizens requested information spread across many different databases / data type and redacting sensitive information following compliance laws, while meeting deadlines to provide that information quickly, 

so that I can comply to the Freedom of Information Act or the law of Open Government and provide this requested information on time, in full while securing data.",Cross Portfolio,Ashley Bill,NSE,Large European Government,Project,"- Business Alignment, 
- Reduce Cost, 
- Reduce Risk",Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Grow Revenue, Reduce Risk, Improve Quality, Grow Revenues","Application response time is aligned to business need and the application availability has increased, which has led to a better customer experience with the customers of the bank, resulting in revenue growth.",Everyone in the Performance CoE is now fully aware and in control of E2E Quality. This CoE is now responsible for driving the performance testing methodology and quality gate for all core applications through a standard process for all the stakeholders in performance testing activities. Service is suitable to be provided on subscription base or on packages bundles. LRC product could be added with service for those customers that aren’t still on our platforms.,Reduce Incidents,Continuous Integration,Test Management,Reduce incidents in production through quality testing practices.,"As the Performance and Monitoring Manager, 

I want to establish a performance testing CoE, responsible for driving the performance testing methodology for all core applications, providing standard and automated practices applied by all the stakeholders in performance testing activities and by maintaining a quality gate, 

so that I can reduce the incidents in the production environment, that are caused by the release of poor application quality.",Load Runner,Franca Schioppa <fschioppa@opentext.com>,NSE,UniCredit,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Risk","Release velocity is aligned with business strategy while improving the quality, safety and availability of the (new) functionalities that are required to sustain, protect and grow the business.","Established a mature Application Security Testing practice enabling a security risks and threat remediation capability, realizing better security governance, increase secure product release velocity and reduce potential risks for attacks when applications are in production.","- Security scan coverage, 
- Risk trends across applications",Continuous Integration,Security Management,Manage security risks and threats through continuous application scanning,"As the CISO 

I need a mature Application Security Testing practice to manage security risks and threat by applying continuous application security scanning, establishing a security risks and threat remediation capability, both which will establish better security governance, increase secure product release velocity and reduce potential risks for attacks when applications are in production, 

so that the release velocity is aligned with business strategy while improving the quality, safety and availability of the (new) functionalities that are required to sustain, protect and grow the business. ",Fortify,"Sanjib Mohanty, smohanty2@opentext.com",INDIA,UD Trucks,Project,#NAME?,Automotive,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Grow Revenue, Improve Quality, Reduce Risk","Deliver the right service at the right time, aligning releases to business strategy and requirements, while protecting Travelport’s business, market reputation and their customer’s information.",Reduced the risk of cyber security breaches due to undetected application vulnerabilities introduced by changes during the software delivery lifecycle. Reduced TCO by reducing the resources needed to manage the environments needed for testing etc. Also been able to direct resources to focus on business innovation delivered by their applications.,"- Improve vulnerability scanning, 
- Reduce risk of security breaches",Continuous Integration,Test Management,Align secured application releases to business requirements,"As the CISO I want to be able to align the code scanning capability to the companies IT Strategy and increase the number of security scans to where it needs to be, enabling our development organization to release more application more frequently and more secure, so that we can confidently protect our business from cyber security breaches caused within the software delivery lifecycle while providing the business with the functionalities they need to protect and grow their business.",Fortify,Bart Ferris,AMS,Travelport,Project,#NAME?,Tourism,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost","Improve customers experience and thus uphold competitiveness, thanks to faster, better and safer go-to-market with enhanced capabilities and interfaces of the mobileapps. ",Mobile App testing is simplified while reducing cost because of the hosting service. The IT organization testing team has access to an online capability immediately without having to make frequent road trips to the many locations in which mobile app testing was done by the bank. Thanks to this there was a productivity enhancement in the route to go live with new features / enhancements,"- Reduce #FTE;
- Reduce Test Unit Cost; 
- Reduce Mean Time To Deploy",Continuous Operations,Test Management,Improve efficiency of Mobile App testing,"As the VP of APPS 

I want a simple, efficient, effective and scalable mobile testing facility – which meets our data sovereignty requirements – without having to worry about staying current with the ever-changing landscape and variety of mobile devices, 

so that I can maintain high productivity in my testing and deployment teams, so that bringing enhancements to the banks mobile apps to our market is cheaper, faster, better and safer.  ",UFT,Keith Macbeath,UK&I,Lloyds Banking Group,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost","Improve customers experience and thus uphold competitiveness, thanks to faster, better and safer go-to-market with enhanced capabilities and interfaces of the mobileapps. ",Mobile App testing is simplified while reducing cost because of the hosting service. The IT organization testing team has access to an online capability immediately without having to make frequent road trips to the many locations in which mobile app testing was done by the bank. Thanks to this there was a productivity enhancement in the route to go live with new features / enhancements,"- Reduce #FTE
- Reduce Test Unit Cost; 
- Reduce Mean Time To Deploy",Continuous Operations,Test Management,Improve efficiency of Mobile App testing,"As the VP of APPS 

I want a simple, efficient, effective and scalable mobile testing facility – which meets our data sovereignty requirements – without having to worry about staying current with the ever-changing landscape and variety of mobile devices, 

so that I can maintain high productivity in my testing and deployment teams, so that bringing enhancements to the banks mobile apps to our market is cheaper, faster, better and safer.  ",UFT,Nilesh Kesharwani,INDIA,Diageo,Project,#NAME?,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Grow Revenues, Reduce Risk","Increase customer experience 

Improve the speed and quality of fulfilment of home loans while at the same time reducing regulatory risk for the bank of noncompliant lending.","Reduce Operational risks

Maintain high volume of end-to-end automation requests at the same time reducing manual efforts and risks to operations. ","- Reduce Manual Effort; 
- Improve Mean Time To Fulfil",Consume,Fulfilment,Improve fulfilment of Home Loans,"As a Home Ownership Support Manager, 

I want to improve the accuracy and speed of the assessment for eligibility of all Home Grant Scheme (HGS) loans, 

so that we continue to improve the fulfilment of these request better, faster and cheaper, without increasing manual effort while reducing the operational risks to Westpac at the same time reducing regulatory risk due to noncompliant lending.",OO,Ashley Winstanley,ANZ,Westpac,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Grow Revenues, Improve Quality, Reduce Risk","Name: Increase Customer Experience and Loyalty

Description: Increase use of the customer’s Payment App and increase consumption in the Petrol Stations?

Value: Brand Protection, Increase Loyalty to use the customer’s Petrol Stations","Name: Compliance and Data Security?

Establish the strongest E2E Encryption Platform without Token Table Data Base, being GDPRS + PCIDSS (EU) compliance – mandatory for VISA/AMEX -, highly recommended for platforms holding the data

Value: Improved the encryption of transaction files to 700 Encrypted Payment Transactions per second",Improve Encrypted Payment Transaction ,Continuous Compliance,Data Protection,Protect Credit Card Data in Payment App,"As a Chief Security Officer?

I want a method to protect the credit card data of my customers?

So that my customers, either using cards issued by my company or from other credit card companies like VISA, Mastercard, AMEX can use my Payment App to pay in my Petrol Stations with complete protection.?",Voltage,Raul Montoya?,NSE,Repsol?,Project,#NAME?,Energy,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Risk, Reduce Cost, Improve Quality","High availability and reliability of business applications, improving customer productivity, reducing risk of non-compliance penalties. ","1) Reduce IT Effort 2) Compliance 3) Reduce Risk  
Architecture & Deployment of the centralized Endpoint Management System incl. all needed network infrastructure, security policies and processes and procedures. This supports the Change Management process; thus, customer is now able to deploy, manage & patch all Windows 10 devices completely with minimum effort incl. a set of standard applications following their security policies (BSI). Fulfilment of Compliance Regulations / Discover & Manage Security Risks ","- improve # of successful changes; 
- reduce % of unplanned downtime",Continuous Operations,Configuration Management,Orchestrate patching.,"As a Change Manager 

I want standard, automated processes and procedures covering administration tasks, to deploy, manage and patch all device with limited user/admin intervention,

so that we can deploy, manage & patch all Windows 10 devices across many locations, with minimum effort applying a set of standard security policies to avoid risks and breaches of security regulations",Cross Portfolio,Oliver Kolsch,DACH,Generalzolldirektion,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Ensure Regulatory Compliance

Description: We need to Ensure Regulatory Compliance with Defence guidelines through centralised and standardised methodology, to ensure an effective audit trail across the estate.  

Value: Provide clear presentation and traceability, whilst capturing and managing all User and Systems Requirements to a standard which will scale across the wider Defence estate.","Name: Ensure Regulatory Compliance

Description: We need to Ensure Regulatory Compliance with Defence guidelines through centralised and standardised methodology, to ensure an effective audit trail across the estate.  

Value: Provide clear presentation and traceability, whilst capturing and managing all User and Systems Requirements to a standard which will scale across the wider Defence estate.","- Improve % of compliance; 
- Reduce % of risks",Continuous Compliance,Requirement Management,Strengthen Requirements Management Compliance,"As the Requirements Manager

I want to record the expression of a requirement and link it to other artifacts such as test results and track it to satisfaction. 

So that I strengthen compliance for Requirements Management to conform to standardized practice with centralized visibility, that can be scaled across the wider Defence.",Dimensions RM,Barry Sloan,UK&I,Large European Defence Government,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Increase Market Share

Description: Ensure compliance with healthcare rules and regulations that support audit requirements, thereby reducing (financial) risks, increasing customer confidence and the customer base.

Value: Increased customer confidence, reduced compliancy breaches","Name : Improve Compliancy

Description : Implement a robust software test capability that centralizes test data by seamlessly integrating all data sources to ensure data consistency and automated reporting to support audit requirements and end-to-end traceability in biotech manufacturing.

Value : Improved test traceability and audit success by 20%, eliminated manual task by 90%, improved overall test insight ","- Improve % test traceability, 
- Reduce % compliance costs",Continuous Integration,Test Management,Improve Test Traceability,"As a Test Manager 

I want to improve the efficiency of test management capabilities with 1) a centralized source of truth, 2) reducing the need of manual work and 3) enabling a full - automated - traceability of our tests, assuring they comply with standards and pharmaceutical regulations,

So that I will reduce the associated risk and enable the team to focus on high-value activities in support of the business.",OCTANE,#NAME?,"GALLIA, INDIA",#NAME?,Project,#NAME?,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Cost, Reduce Risk",Achieve compliance to reduce the risk of brand damage and fines caused by data breaches: while increasing customer trust.,Automated review of millions of records to make decisions on deletion / retain. Reduce Storage and infrastructure costs by building a life cycle around filesystems. Being able to support compliance with regards to data management and privacy ,"- % of security risks reduced; 
- % reduction of costs;",Continuous Compliance,Security Management,Manage and protect document life-cycles for compliance,"As a CISO, 

I want to manage the company records, understanding which records to remove and which records to retain and bring under life cycle control,

so that I can comply with data management and privacy regulations to avoid brand damage and fines.  ",Voltage Fusion,Gregorio Martinez,DACH,BMW,Project,#NAME?,Automotive,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Risk","Increase compliance with privacy legislation and reduce the risk of brand damage and fines, while increasing customer trust in the company's brand.","Implement a secure practice for email traffic / exchange increasing company data security reducing data breaches, while improving the audibility of our security practices and increase the protection of private communications between parties.","- Reduce % of security risks; 
- Improve % Customer experience and retention; 
- Reduce # Intrusion attempts",Continuous Operations,Security Management,Secure Emails Traffic,"As a CISO, 

I want to secure emails traffic between my business and our customer enabling the compliance with privacy regulations and avoid data breaches, 

so that we avoid non-compliance fines and damage to reputation.",Voltage,Ashley Bill,UK&I,Coventry Building Society,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Cost, Reduce Risk","Faster time-to-market resulting in higher productivity, and profit growth.","Automate and standardize the speed of creating test data to save time and resources. Move people from “low value task” to “high value task”
Increase production timings with automation and compliance: ","- Reduce % of security risks; 
- Reduce costs [removing manual tasks]",Continuous Integration,Test Management,Improve Secured Testing,"As a CISO, 

I want the ability to create secured test data, complying with privacy regulations, but is realistic enough to allow for proper testing, 

So that our company can develop / release products faster, better, safer and cheaper, aligned to the ""time-to-market"" needs from our business leaders.",Voltage,Ashley Bill,UK&I,Hasting Insurance,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Risk","Name: Compliance of business rules 

Description: Establish a self-governing, reliability conscious culture that promotes adherence to specifications relevant to the organization's business rules. 

Value: improve situational awareness of compliance risks.","Name: Improve IT Service Delivery

Description: Enable the proactive compliance and reporting of all business applications to ensure that fluctuations of architectural changes in a hybrid environment are addressed quickly to match customer agreed application SLA.

Value: Improve situational awareness of service health on all business applications under rules of compliance on daily basis.",Improve % of production applications that are compliant with the defined architectural enterprise rules,Continuous Operations,Configuration Management,Report Business Service Compliance,"As a Business Owner

I want to report on the compliance of my business services against availability, resilience and business impact level enterprise rules defined by the architecture department, on a daily basis.

So that I can improve situational awareness of compliance risks and service health.",uCMDB,Maurizio Marzotti,NSE,ENI,Project,#NAME?,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Value Streams and Processes Description: 

Establish a culture that promotes continuous improvement of practices, policies, value chains and centre of excellences applied, to manage the lifecycle of digital products and services.

Value: Cost optimization with a Continuous Improvement, Establish a culture of innovation.","Name: Improve [DBA] Service Fulfilment

Description: Integrate Database Administrator activities throughout the service fulfilment process, to support a successful orchestration in such a way that the requested service offering are made available for consumption.

Value: Reduced manual activities on DBs by 60%-70%.",Reduce % of repeatable “low value” activities along a defined period of time,Continuous Operations,Fulfilment Orchestration,Automate Database Operations,"As a Database Administrator

I want to execute database-related operations in a repeatable and scalable manner across all database environments.

So that I can improve the efficiency of database-related operations, reduce the associated risk by removing the need for manual intervention and enable my DBAs to focus on high-value activities in support of the business.",HCMX,Maurizio Marzotti,NSE,SKY Italia,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce risk","Name: Risk Management

Description: Establish a self-governing, cost-conscious culture that promotes that threats are discovered, qualified, mitigated and managed.

Value: Mitigate (security) risks and avoid GDPR fines (up to 4% of annual revenue).","Name: Improve/Strengthen cyber resilience

Description: Strengthen cyber resilience, assure patching is applied on-time every 3 months, reduce manual activities and related risks.

Value: Optimized external costs, Manage Compliance.","- Reduce % of cyber risks; 
- Reduce # of intrusion attempts",Continuous Compliance,Governance,Security Patching,"As a Operation Manager

I want a solution to apply on time patches requested by security department on all impacted GDPR applications.

So that I have automated and parallelized the installation of security patches across all operating system (OS) and database (DB) environments, to ensure ongoing compliance with GDPR regulations.",DCA,"- Rosa Petracca, 
- Marco Carlier, 
- Ermanno Stellato",NSE,SKY Italia,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Grow Revenue, Improve Quality","Name: Improve Quality Assurance

Description: Business services to deliver a better customer experience and revenue growth.

Value: Acceleration of Release total Deployment 10-15%.","Name: Increase Application Governance, Accelerate Service Release and Quality

Description: Activation of tools for Testing Process Governance, Automatic Functional & Performance, Service Virtualization.

Value: Improved from no users to 900-1000 Users (Daily).","- Improve # of users using Application Services; 
- Reduce # of Defect in production; 
- Reduce cost in Quality Governance",Continuous Integration,Test Management,Govern Testing Processes - DevOps,"As a Quality Manager

I want to ensure the quality of applications, services, and systems throughout their lifecycles, delivered by internal Testing Farms and Application Teams.

So that I can Increase Application Governance, Accelerate Service Release and Improve Service Quality",OCTANE,"- Stefano Bonato, 
- Riccardo Gelleni, 
- Marco Carlier",NSE,SKY Italia,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost","Name: Improve time to market for new IT initiatives

Description: in the context of its Continuous Integration/Delivery optimization program, customer wants to optimize the monitoring implementation process and reduce time to deploy new policies.

Value: reduce internal and external cost of the monitoring implementation process and improve time to market.","Name: Reduce delivery effort to develop new policies

Description: Reduce effort to develop new monitoring policies and test them.

Value: drastically decrease time to deploy and effort to implement monitoring capabilities, improve overall testing efficiency by automating test execution and result analysis.",- Improve % of efficiency / effectiveness of monitoring implementation process,Continuous Integration,Test Management,Validate Monitoring Policies,"As an Operations Manager

I want a capability to check and validate new policies by the execution of automatic test.

So that I can reduce time to deploy new monitoring policies  and the time to go live for the new IT initiatives will be shortened.",OPSB,"- Lorenzo Ferigo, 
- Francesco Baldi, 
- Federica Ielo, 
- Ivan Mariuz, 
- Orlando Riccardi, 
- Maggioni Fabrizio, 
- Stefano Tarro",NSE,Vodafone Italia,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Cost, Reduce Risk","Name: Optimize Costs

Description: Protect the business and avoid customer service interruption.

Value: Avoid money loss and bad company reputation.","Name: Improve Certificate Management (SSL)

Description: Reduce downtime of services. Allowing scheduled certificates renewal planning.

Value: reducing manual task > 90%.",- Improve % efficiency / effectiveness of Certificate Management process,Continuous Operations,Configuration Management,Manage Certificates,"As an Operations Manager

I want to be informed in advance about the certificate (SSL) lifecycle, enabling me to plan and control.

So that I can avoid impact on the production environment and plan the activities.",uCMDB,"- Lorenzo Ferigo, 
- Francesco Baldi, 
- Federica Ielo, 
- Ivan Mariuz, 
- Orlando Riccardi, 
- Fabrizio Maggioni",NSE,Nexi Payments,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Risk","Name: Continuity Management

Description: Improve service reliability and business continuity","Name: Improve IT Service Delivery

Description: Full centralization and control of the backup service for data centre to prevent potential impacts in case of disaster scenario.",Improve % of efficiency / effectiveness,Continuous Operations,Governance,Backup Compliancy Dashboard,"As an Operations Manager

I want a single entry point to get the inventory of the servers under backup given complex and distributed backup platform coming from multiple sources.

So that I can have an updated list of the servers compliance with backup policy and details related to the configuration.",uCMDB,"- Lorenzo Ferigo, 
- Francesco Baldi, 
- Federica Ielo, 
- Ivan Mariuz, 
- Orlando Riccardi, 
- Fabrizio Maggioni",NSE,Nexi Payments,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk","Cost saving in application release process and risk reduction for strategic business application, Faster Time to Market with better Initial Quality and Compliance improving business productivity","Name: Imp[rove Release Composition

Description: On-time releases of internal and customer facing applications. Ensure all stakeholders are included and ensure transparency. Deploy an established release management framework utilizing existing IP using a service provider based approach

Value: Proven framework; Time to value; Optional support available through Professional Services",#NAME?,Continuous Deployment,Release Composition,Improve Software Releases,"As a Service Owner

I want to improve the efficiency and ensure full governance of Release Composition practice

So that I can release my applications consistent, transparent, faster, with better quality, reducing risk and aligned to SLA objectives.",Cross Portfolio,#NAME?,AMS,Cerner,Project,#NAME?,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost, Reduce Risk",Cost saving in application release process and risk reduction for strategic business application.,"Name: Automate Release Package Creation

Description: Provide a full release control managed process with improved process automation in agile mode and in a multi-platform environments scenario.

Value: Increase task parallelization fulfilment of services by 80% (20-30 tasks in few min)",#NAME?,Continuous Deployment,Release Composition,Automated Release Package Creation,"As a Service Owner

I want to improve the efficiency and ensure full governance of Release Composition practice with automation in a complex multi-environment scenario. 

So that I can release my applications consistent, transparent, faster, with better quality, reducing risk and aligned to SLA objectives.",Cross Portfolio,#NAME?,NSE,Banca d'Italia,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Grow Revenue, Improve Quality","Gain competitive advantage among international instant interbank payments, increasing revenues.","Name: Instant payment process governance and remediation

Description: Full daily governance of instant payment transactions with capability to act immediately on issues that will require recovery and intervention. 

Value: Reduced time to solve issues in critical instant payment process with higher success rate in business transactions.","- Reduce TTR (Time to Repair); 
- Improve % of successful instant payments transactions",Continuous Operations,Service Monitoring,Instant Payment Governance,"As Incident Coordinator

I want to have the capability to govern the process of instant payments across international banks with a daily operational dashboard.

So that I can assure full governance and resilience of the critical process to ensure business continuity and high quality of service.",OPSB,"- Alessio Livi, 
- Francesco Verdecchia, 
- Giuseppe Boccuti",NSE,Banca d'Italia,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
